web_scraper_order,web_scraper_start_url,nom,prix,adresse,image_lien
"1771528569-69","https://sn.coinafrique.com/categorie/chiens?page=10","Métisse chiots rottweiler","50 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/metisse-chiots-rottweiler-1890049"
"1771528569-70","https://sn.coinafrique.com/categorie/chiens?page=10","Labrador","200 000CFA","Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/labrador-1869479"
"1771528569-71","https://sn.coinafrique.com/categorie/chiens?page=10","Bulldog anglais","Prix sur demande","Fann, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/bulldog-anglais-1862159"
"1771528569-72","https://sn.coinafrique.com/categorie/chiens?page=10","Femelle dogue de Bordeaux","Prix sur demande","Fann, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/femelle-dogue-de-bordeaux-1862155"
"1771528569-73","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Dogue allemand","Prix sur demande","Fann, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-dogue-allemand-1862148"
"1771528569-74","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots pékinois pure race","Prix sur demande","Fann, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-pekinois-pure-race-1862142"
"1771528569-75","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Shiba inu","Prix sur demande","Fann, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-shiba-inu-1862112"
"1771528569-76","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Spitz nain pomeranian","Prix sur demande","Fann, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-spitz-nain-pomeranian-1862107"
"1771528569-77","https://sn.coinafrique.com/categorie/chiens?page=10","Caniches","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/caniches-1840583"
"1771528569-78","https://sn.coinafrique.com/categorie/chiens?page=10","Chien Dogue Allemand","Prix sur demande","Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chien-dogue-allemand-1840570"
"1771528569-79","https://sn.coinafrique.com/categorie/chiens?page=10","Doberman pure souche","350 000CFA","Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/doberman-pure-souche-1803179"
"1771528569-80","https://sn.coinafrique.com/categorie/chiens?page=10","Chien Bichon","Prix sur demande","Ouakam, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chien-bichon-1733519"
"1771528569-81","https://sn.coinafrique.com/categorie/chiens?page=10","Cani corso","600 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/cani-corso-1716117"
"1771528569-82","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot berger belge malinois","175 000CFA","Pikine, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-berger-belge-malinois-1628361"
"1771528569-83","https://sn.coinafrique.com/categorie/chiens?page=10","Doberman","400 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/doberman-1621541"
"1771528569-84","https://sn.coinafrique.com/categorie/chiens?page=10","Pékinois","Prix sur demande","Fann, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/pekinois-1592664"
"1771528574-85","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot berger allemand mâle","150 000CFA","Hann Bel-Air, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-male-3064744"
"1771528574-86","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot Boerboel","450 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-boerboel-3057395"
"1771528574-87","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot femelle Yorkshire","400 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-femelle-yorkshire-3045523"
"1771528574-88","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Bergers Allemands","150 000CFA","Rufisque, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-bergers-allemands-3035100"
"1771528574-89","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot Husky","450 000CFA","Dakar Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-husky-3032898"
"1771528574-90","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot pitbull","150CFA","Mamelles, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-3025431"
"1771528574-91","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot couple teckel","200CFA","Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-couple-teckel-3023422"
"1771528574-92","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Bergers Allemands","150 000CFA","Pikine, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-bergers-allemands-3018685"
"1771528574-93","https://sn.coinafrique.com/categorie/chiens?page=9","Chien Bijon Malté","210 000CFA","Sicap Liberté, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chien-bijon-malte-3012169"
