image_lien,nom,adresse,prix
https://sn.coinafrique.com/annonce/moutons/mouton-2320189,Mouton,"Thiaroye Gare, Dakar, Sénégal",175000.0
https://sn.coinafrique.com/annonce/moutons/moutons-2319075,Moutons,"Louga, Sénégal",250000.0
https://sn.coinafrique.com/annonce/moutons/moutons-2318501,Moutons,Sénégal,250000.0
https://sn.coinafrique.com/annonce/moutons/beliers-2316483,Beliers,"Ouakam, Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/moutons/mouton-2313084,Mouton,"Louga, Sénégal",350000.0
https://sn.coinafrique.com/annonce/moutons/mouton-2312899,Mouton,"Saint Louis, Sénégal",210000.0
https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-azawad-2311201,Mouton Ladoum Azawad,"Saly, Sénégal",300000.0
https://sn.coinafrique.com/annonce/moutons/moutons-2310325,Moutons,"Louga, Sénégal",250000.0
https://sn.coinafrique.com/annonce/moutons/mouton-2310054,Mouton,"HLM, Dakar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/moutons/mouton-2299741,Mouton,"Pikine, Sénégal",350000.0
https://sn.coinafrique.com/annonce/moutons/mouton-2295213,Mouton,"Cambérène, Dakar, Sénégal",180000.0
https://sn.coinafrique.com/annonce/moutons/moutons-ladoum-2294312,Moutons ladoum,"Fatick, Sénégal",250000.0
https://sn.coinafrique.com/annonce/moutons/mouton-2291208,Mouton,"Fass, Dakar, Sénégal",325000.0
https://sn.coinafrique.com/annonce/moutons/mouton-2284394,Mouton,"Fass, Dakar, Sénégal",300000.0
https://sn.coinafrique.com/annonce/moutons/moutons-2283290,Moutons,"Parcelle Assainies, Dakar, Sénégal",320000.0
https://sn.coinafrique.com/annonce/moutons/mouton-2280180,Mouton,"Grand Yoff, Dakar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/moutons/mouton-2275915,Mouton,"Pikine, Sénégal",185000.0
https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-2275615,Mouton ladoum,"Thies, Sénégal",605000.0
https://sn.coinafrique.com/annonce/moutons/mouton-2273400,Mouton,"Grand Yoff, Dakar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/moutons/mouton-de-race-2269887,Mouton de race,"Louga, Sénégal",250000.0
https://sn.coinafrique.com/annonce/moutons/mouton-2269632,Mouton,"Dakar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/moutons/mouton-2268026,Mouton,"Louga, Sénégal",200000.0
https://sn.coinafrique.com/annonce/moutons/mouton-2267999,Mouton,"Louga, Sénégal",200000.0
https://sn.coinafrique.com/annonce/moutons/mouton-2267245,Mouton,"Guediawaye, Dakar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/moutons/mouton-2266448,Mouton,"Louga, Sénégal",250000.0
https://sn.coinafrique.com/annonce/moutons/mouton-de-tabaski-2266401,Mouton  de tabaski,"Louga, Sénégal",250000.0
https://sn.coinafrique.com/annonce/moutons/mouton-2261586,Mouton,"Thies, Sénégal",605000.0
https://sn.coinafrique.com/annonce/moutons/male-azawate-geniteur-2260872,Mâle azawate géniteur,"Saint Louis, Sénégal",450000.0
https://sn.coinafrique.com/annonce/moutons/mouton-2259814,Mouton,"Louga, Sénégal",210000.0
https://sn.coinafrique.com/annonce/moutons/mouton-2254780,Mouton,"Dakar, Sénégal",275000.0
https://sn.coinafrique.com/annonce/moutons/mouton-2237884,Mouton,"Thies, Sénégal",605000.0
https://sn.coinafrique.com/annonce/moutons/mouton-2235186,Mouton,"Pikine, Sénégal",195000.0
https://sn.coinafrique.com/annonce/moutons/femelle-2233592,Femelle,"Guediawaye, Dakar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/moutons/mouton-femelle-2233573,Mouton femelle,"Guediawaye, Dakar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/moutons/mouton-2230662,Mouton,"Patte d'oie, Dakar, Sénégal",300000.0
https://sn.coinafrique.com/annonce/moutons/mouton-2228310,Mouton,"Dakar, Sénégal",135000.0
https://sn.coinafrique.com/annonce/moutons/ladoum-pur-sang-2226053,Ladoum pur sang,"Mermoz-Sacré Coeur, Dakar, Sénégal",350000.0
https://sn.coinafrique.com/annonce/moutons/moutons-2216401,Moutons,"Dakar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/moutons/male-azawad-2208081,Mâle azawad,"Dakar, Sénégal",400000.0
