image_lien,nom,adresse,prix
https://sn.coinafrique.com/annonce/autres-animaux/dinde-3165522,Dinde,"Touba, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/paonneau-3164991,Paonneau,"Mbao, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/rat-3156125,Rat,"Almadies, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/poisson-vivant-3140939,Poisson vivant,"Yoff, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/boeuf-3140204,Boeuf,"Bambey, Sénégal",645000.0
https://sn.coinafrique.com/annonce/autres-animaux/oie-geant-3133835,Oie géant,"Mbour, Sénégal",85000.0
https://sn.coinafrique.com/annonce/autres-animaux/couple-colvert-3127244,Couple colvert,"Dakar, Sénégal",30000.0
https://sn.coinafrique.com/annonce/autres-animaux/oiseaux-exotiques-3119376,Oiseaux exotiques,"Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/couple-perruches-ondulees-3116528,Couple perruches ondulées,"Mermoz-Sacré Coeur, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/vache-3095614,Vache,"HLM, Dakar, Sénégal",300000.0
https://sn.coinafrique.com/annonce/autres-animaux/trio-dindes-damerique-3092550,Trio dindes d’amérique,"Mbao, Dakar, Sénégal",65000.0
https://sn.coinafrique.com/annonce/autres-animaux/couple-perruche-arc-en-ciel-3092218,Couple perruche arc en ciel,"Mermoz-Sacré Coeur, Dakar, Sénégal",40000.0
https://sn.coinafrique.com/annonce/autres-animaux/taureau-geniteur-laitier-3087054,Taureau - géniteur laitier,"Sicap Liberté, Dakar, Sénégal",645000.0
https://sn.coinafrique.com/annonce/autres-animaux/chaton-3054622,Chaton,"Almadies, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/cheval-3053064,Cheval,"Dakar, Sénégal",645000.0
https://sn.coinafrique.com/annonce/autres-animaux/taureau-geniteur-laitier-3039728,Taureau géniteur laitier,"Sicap Liberté, Dakar, Sénégal",645000.0
https://sn.coinafrique.com/annonce/autres-animaux/oisillons-3026572,Oisillons,"Dakar, Sénégal",25000.0
https://sn.coinafrique.com/annonce/autres-animaux/oie-adulte-3025291,Oie adulte,"Dakar, Sénégal",80000.0
https://sn.coinafrique.com/annonce/autres-animaux/cheval-3012715,Cheval,"Dakar, Sénégal",645000.0
https://sn.coinafrique.com/annonce/autres-animaux/buf-3012014,Bœuf,"Guediawaye, Dakar, Sénégal",425000.0
https://sn.coinafrique.com/annonce/autres-animaux/laor-noir-3005811,Laor noir,"Mbour, Sénégal",35000.0
https://sn.coinafrique.com/annonce/autres-animaux/porc-3004606,Porc,"Dakar, Sénégal",2500.0
https://sn.coinafrique.com/annonce/autres-animaux/buf-2968890,Bœuf,"Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/chaton-angora-turque-2966724,Chaton Angora turque,"Grand Dakar, Dakar, Sénégal",160000.0
https://sn.coinafrique.com/annonce/autres-animaux/couple-oie-de-toulouse-adulte-2936871,Couple oie de toulouse adulte,"Mbour, Sénégal",85000.0
https://sn.coinafrique.com/annonce/autres-animaux/perroquet-senegal-avec-cage-2930350,Perroquet Sénégal avec cage,"Ngor, Dakar, Sénégal",35000.0
https://sn.coinafrique.com/annonce/autres-animaux/jument-arabe-2924412,Jument arabe,"Kébémer, Sénégal",645000.0
https://sn.coinafrique.com/annonce/autres-animaux/perruches-inseparables-2896567,Perruches - inséparables,"Parcelle Assainies, Dakar, Sénégal",12500.0
https://sn.coinafrique.com/annonce/autres-animaux/dinde-rouge-2888081,Dinde rouge,"Louga, Sénégal",70000.0
https://sn.coinafrique.com/annonce/autres-animaux/chaton-noir-blanc-2886750,Chaton noir blanc,"Mamelles, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/bouc-race-laitiere-2881915,Bouc race laitière,"Saly, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/canard-colvert-2876451,Canard Colvert,"Thies, Sénégal",50000.0
https://sn.coinafrique.com/annonce/autres-animaux/chatons-2860327,Chatons,"Grand Dakar, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/veau-2856538,Veau,"HLM, Dakar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/autres-animaux/vache-2846588,Vache,"Bambey, Sénégal",550000.0
https://sn.coinafrique.com/annonce/autres-animaux/chaton-angora-turc-2826620,Chaton Angora Turc,"Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/dinde-damerique-2735977,Dinde d'amérique,"Guediawaye, Dakar, Sénégal",100000.0
